,ОКТМО,Население 2016,Число работников 2016,Число работников-россиян 2016,Число работников-иностранцев 2016,Средняя белая зарплата 2016,Средняя белая зарплата россиян 2016,Средняя белая зарплата иностранцев 2016,Население 2018,Число работников 2018,Число работников-россиян 2018,Число работников-иностранцев 2018,Средняя белая зарплата 2018,Средняя белая зарплата россиян 2018,Средняя белая зарплата иностранцев 2018,"Доля иностранных работников 2016, %","Доля иностранных работников 2018, %",Темпы роста числа иностранных работников 2018-2016,"Темпы роста доли иностранных работников 2018-2016, %","Темпы роста населения 2018-2016, %","Темпы роста числа рабочих мест 2018-2016, %","Темпы роста средней белой зарплаты 2018-2016, %",Средняя белая зарплата иностранцев % от российской 2016,Средняя белая зарплата иностранцев % от российской 2018,Число рабочих мест в % к численности населения 2016,Число рабочих мест в % к численности населения 2018,"Темпы роста доли рабочих мест 2016-2018, %"
г. Подольск,46760000,293765,178507,169369,9215,31800,32421,20135,6003,184379,172624,11850,35684,36709,20444,5.162262544325992,6.426979211298467,28.594682582745534,24.49927054490022,-97.95652987932532,3.2895068540729433,12.213836477987417,63.31761006289308,57.291783432350634,60.765237519786226,3071.447609528569,4954.613023652631
Городской округ Протвино,46767000,36910,15710,15190,540,25465,25895,12418,57946,15132,14014,1121,29363,30821,11054,3.437301082113304,7.408141686492202,107.5925925925926,115.52204795331944,56.992684909238676,-3.6791852323360907,15.307284508148445,48.764971529550365,37.646017096345744,42.56299105933351,26.113968177268493,-38.646303919606616
г. Протвино,46767000,36910,15710,15190,540,25465,25895,12418,57946,15132,14014,1121,29363,30821,11054,3.437301082113304,7.408141686492202,107.5925925925926,115.52204795331944,56.992684909238676,-3.6791852323360907,15.307284508148445,48.764971529550365,37.646017096345744,42.56299105933351,26.113968177268493,-38.646303919606616
Городской округ Пущино,46762000,21281,8447,8381,69,26983,27032,19928,314523,7919,7858,63,34806,34875,24983,0.8168580561145968,0.7955549943174643,-8.695652173913048,-2.6079270000054833,1377.9521639020722,-6.250739907659519,28.992328503131603,73.85390801615833,71.77785439292076,39.6926836144918,2.517780893607145,-93.65681363835046
г. Пущино,46762000,21281,8447,8381,69,26983,27032,19928,202918,7919,7858,63,34806,34875,24983,0.8168580561145968,0.7955549943174643,-8.695652173913048,-2.6079270000054833,853.5172219350594,-6.250739907659519,28.992328503131603,73.85390801615833,71.77785439292076,39.6926836144918,3.9025616258784335,-90.16805801345815
Городской округ Реутов,46764000,96627,39482,38048,1448,30035,30644,13759,24364,40715,38517,2210,34756,36044,12106,3.667494047920571,5.427974947807933,52.62430939226519,48.00228376336521,-74.78551543564429,3.1229421001975677,15.718328616613952,45.809888463459295,34.831396017953736,40.86021505376344,167.1113117714661,308.98294723016704
г. Реутов,46764000,96627,39482,38048,1448,30035,30644,13759,25801,40715,38517,2210,34756,36044,12106,3.667494047920571,5.427974947807933,52.62430939226519,48.00228376336521,-73.29835346228279,3.1229421001975677,15.718328616613952,45.809888463459295,34.831396017953736,40.86021505376344,157.8039610867796,286.2044310808027
Городской округ Рошаль,46765000,20793,5384,5317,67,22741,22837,15119,19482,5167,5102,66,27131,27136,25322,1.2444279346210996,1.2773369460034836,-1.4925373134328401,2.64450921317545,-6.30500649256962,-4.030460624071319,19.304340178532176,66.4834439998241,93.33235044782721,25.893329485884674,26.521917667590596,2.427606623739087
г. Рошаль,46765000,20793,5384,5317,67,22741,22837,15119,31440,5167,5102,66,27131,27136,25322,1.2444279346210996,1.2773369460034836,-1.4925373134328401,2.64450921317545,51.20473236185254,-4.030460624071319,19.304340178532176,66.4834439998241,93.33235044782721,25.893329485884674,16.43447837150127,-36.53006894899221
Городской округ Серебряные Пруды,46772000,25115,6222,6155,68,25640,25609,25062,2849,6476,6376,102,30390,30438,26781,1.092896174863388,1.5750463248919087,50.0,44.116738727609636,-88.65618156480191,4.082288653166177,18.525741029641196,97.74570982839313,88.1243830207305,24.7740394186741,227.3078273078273,817.5242820373003
пгт Серебряные Пруды рп,46772000,9246,6222,6155,68,25640,25609,25062,2849,6476,6376,102,30390,30438,26781,1.092896174863388,1.5750463248919087,50.0,44.116738727609636,-69.18667531905689,4.082288653166177,18.525741029641196,97.74570982839313,88.1243830207305,67.2939649578196,227.3078273078273,237.7833769347752
Городской округ Серпухов,46770000,126586,52430,50557,1883,26429,27027,10233,236208,54389,51763,2640,29526,30418,11881,3.5914552736982643,4.8539226681865815,40.201805629314926,35.15197317738845,86.59883399428057,3.73641045203128,11.718188353702374,38.71883158651481,40.23911129174287,41.41848229662048,23.02589243378717,-44.40672096846495
г. Серпухов,46770000,126586,52430,50557,1883,26429,27027,10233,211606,54389,51763,2640,29526,30418,11881,3.5914552736982643,4.8539226681865815,40.201805629314926,35.15197317738845,67.16382538353372,3.73641045203128,11.718188353702374,38.71883158651481,40.23911129174287,41.41848229662048,25.702957383060973,-37.94326600625298
Городской округ Фрязино,46780000,59798,27825,26880,945,38463,39431,10917,159331,28814,27352,1467,44550,46361,10641,3.3962264150943398,5.091275074616506,55.23809523809524,49.90976608593045,166.44871065921936,3.554357592093438,15.82559862725217,28.383121441385228,23.885521885521886,46.531656577143046,18.084365252210805,-61.135350463550694
г. Фрязино,46780000,59793,27825,26880,945,38463,39431,10917,62119,28814,27352,1467,44550,46361,10641,3.3962264150943398,5.091275074616506,55.23809523809524,49.90976608593045,3.890087468432757,3.554357592093438,15.82559862725217,28.383121441385228,23.885521885521886,46.53554763935578,46.38516395949709,-0.32315871948932484
Городской округ Химки,46783000,239967,173529,161808,11768,42813,43093,38786,27860,191493,173858,17703,47381,49042,30889,6.7815754139077615,9.244724350237346,50.43337865397688,36.32119066726178,-88.3900703013331,10.352160157668177,10.669656412771822,90.59397846448509,65.19279880120723,72.31369313280577,687.340272792534,850.4980910464881
г. Химки,46783000,239967,173529,161808,11768,42813,43093,38786,5090,191493,173858,17703,47381,49042,30889,6.7815754139077615,9.244724350237346,50.43337865397688,36.32119066726178,-97.87887501198081,10.352160157668177,10.669656412771822,90.59397846448509,65.19279880120723,72.31369313280577,3762.1414538310414,5102.529826435198
Городской округ Черноголовка,46781000,23542,12618,12217,403,29171,29824,9234,22425,13837,13254,586,37006,38069,12763,3.1938500554763034,4.235022042350221,45.40942928039702,32.59927575775456,-4.744711579305072,9.66080202884767,26.858866682664285,31.654725583627574,34.489001783494565,53.59782516353751,61.70345596432553,15.123059146627948
Городской округ Электросталь,46790000,158479,62152,60051,2119,29040,29699,10102,84307,62031,58460,3596,33241,34560,11574,3.40938344703308,5.797101449275362,69.70268994808873,70.03371839328096,-46.802415461985504,-0.19468400051486645,14.466253443526167,34.78650137741047,34.81844709846274,39.217814347642275,73.57752025335975,87.61249569172674
г. Электросталь,46790000,158479,62152,60051,2119,29040,29699,10102,64865,62031,58460,3596,33241,34560,11574,3.40938344703308,5.797101449275362,69.70268994808873,70.03371839328096,-59.07028691498558,-0.19468400051486645,14.466253443526167,34.78650137741047,34.81844709846274,39.217814347642275,95.63092576890465,143.84562821679495
Сельское поселение Ярополецкое,46605467,2984,681,671,10,32326,32643,9816,20418,826,789,37,31227,32110,12398,1.4684287812041115,4.479418886198547,270.0,205.0484261501211,584.2493297587131,21.29221732745963,-3.3997401472498967,30.365649941223783,39.702821276459474,22.82171581769437,4.045450093055147,-82.27368123689199
Воскресенский муниципальный район,46606000,155436,388,383,5,15654,15825,2513,62211,32,32,0,21799,21799,0,1.2886597938144329,0.0,-100.0,-100.0,-59.97645333127461,-91.75257731958763,39.255142455602396,16.053404880541713,0.0,0.24962042255333386,0.05143784861198181,-79.39357361636081
Городское поселение Воскресенск,46606101,96774,33169,32530,647,26853,27082,14974,13182,32854,31956,908,30660,31101,14807,1.950616539539932,2.763742618859195,40.34003091190108,41.68559339248941,-86.3785727571455,-0.9496819319243843,14.177186906490903,55.76285703645775,48.294194390084805,34.2747018827371,249.23380367167348,627.165489358212
г. Воскресенск,46606101,94121,33169,32530,647,26853,27082,14974,18380,32854,31956,908,30660,31101,14807,1.950616539539932,2.763742618859195,40.34003091190108,41.68559339248941,-80.4719456869349,-0.9496819319243843,14.177186906490903,55.76285703645775,48.294194390084805,35.240807046248975,178.74863982589773,407.2206195258621
Городское поселение Белоозёрский,46606154,21154,6535,6418,117,32477,32940,7068,24412,6337,6218,119,38829,39412,8357,1.7903596021423107,1.8778601862079847,1.7094017094017033,4.887318947599817,15.401342535690654,-3.029839326702377,19.558456754010535,21.76309388182406,21.522573334363493,30.892502599981093,25.958544977879733,-15.971375598765448
пгт Белоозёрский рп,46606154,18235,6535,6418,117,32477,32940,7068,8927,6337,6218,119,38829,39412,8357,1.7903596021423107,1.8778601862079847,1.7094017094017033,4.887318947599817,-51.044694269262415,-3.029839326702377,19.558456754010535,21.76309388182406,21.522573334363493,35.83767480120647,70.98689369329001,98.07896044332725
Городское поселение Хорлово,46606167,8494,1577,1528,49,21795,22193,9370,125817,1432,1383,49,26315,26868,10687,3.1071655041217503,3.4217877094972065,0.0,10.125698324022325,1381.2455851189075,-9.19467343056436,20.738701537049774,42.99151181463638,40.611818354550635,18.566046621144338,1.1381609798357932,-93.86966432293899
пгт Хорлово рп,46606167,7825,1577,1528,49,21795,22193,9370,125817,1432,1383,49,26315,26868,10687,3.1071655041217503,3.4217877094972065,0.0,10.125698324022325,1507.8849840255589,-9.19467343056436,20.738701537049774,42.99151181463638,40.611818354550635,20.15335463258786,1.1381609798357932,-94.35249862573552
Городское поселение им. Цюрупы,46606180,4654,548,544,4,20836,20952,4598,121135,368,363,5,22712,22854,11909,0.7299270072992701,1.358695652173913,25.0,86.1413043478261,2502.814782982381,-32.846715328467155,9.003647533115755,22.067575350355156,52.434836209933074,11.774817361409541,0.30379328847979525,-97.41997451718072
пгт им. Цюрупы рп,46606180,4373,548,544,4,20836,20952,4598,66075,368,363,5,22712,22854,11909,0.7299270072992701,1.358695652173913,25.0,86.1413043478261,1410.976446375486,-32.846715328467155,9.003647533115755,22.067575350355156,52.434836209933074,12.531442945346445,0.5569428679530836,-95.55563656649848
Сельское поселение Ашитковское,46606402,16370,3273,2944,329,20072,21450,7735,2396,3588,3061,527,22607,24905,9005,10.051940116101436,14.687848383500556,60.18237082066869,46.119537261997934,-85.36346976175932,9.624197983501382,12.629533678756477,38.53626943005181,39.83279515194409,19.993891264508246,149.74958263772956,648.9766782094815
Сельское поселение Фединское,46606413,7990,3340,3023,317,24438,25099,18123,3839,3695,3362,333,28952,28964,28826,9.491017964071856,9.012178619756428,5.0473186119873725,-5.045184258717761,-51.95244055068836,10.628742514970057,18.47123332514935,74.15909648907439,99.56479690522244,41.80225281602002,96.2490231831206,130.2484117464472
Дмитровский муниципальный район,46608000,162162,264,262,2,21991,21988,22481,11428,41,19,22,14109,14415,13844,0.7575757575757576,53.65853658536586,1000.0,6982.926829268294,-92.95272628605962,-84.46969696969697,-35.84193533718339,102.22818425719612,98.12176624849387,0.1628001628001628,0.35876793839691984,120.373206160308
Городское поселение Дмитров,46608101,82787,49018,46111,2936,24623,25349,12972,60441,14415,13249,1166,23889,24777,13802,5.98963646007589,8.088796392646548,-60.286103542234336,35.04653323390619,-26.992160604925896,-70.59243543188217,-2.980952767737477,52.682451366608454,57.77554523002219,59.20977931317719,23.849704670670572,-59.7199906040474
г. Дмитров,46608101,66588,49018,46111,2936,24623,25349,12972,60437,14415,13249,1166,23889,24777,13802,5.98963646007589,8.088796392646548,-60.286103542234336,35.04653323390619,-9.237400132155948,-70.59243543188217,-2.980952767737477,52.682451366608454,57.77554523002219,73.61386435994473,23.851283154359084,-67.5994687118515
Городское поселение Яхрома,46608105,15944,5728,5470,258,23811,24083,18027,250688,798,755,43,29996,31251,7940,4.504189944134078,5.3884711779448615,-83.33333333333334,19.632414369256466,1472.3030607124936,-86.06843575418995,25.97538952584939,75.70870606022427,26.47019602613682,35.925740090316104,0.31832397242787847,-99.11393899853525
г. Яхрома,46608105,14004,5728,5470,258,23811,24083,18027,250688,798,755,43,29996,31251,7940,4.504189944134078,5.3884711779448615,-83.33333333333334,19.632414369256466,1690.117109397315,-86.06843575418995,25.97538952584939,75.70870606022427,26.47019602613682,40.90259925735504,0.31832397242787847,-99.22175123780028
Городское поселение Деденево,46608154,6540,2964,2759,205,25421,26052,16917,23175,686,581,105,17508,19212,8080,6.916329284750337,15.306122448979592,-48.78048780487805,121.30413140866101,254.3577981651376,-76.85560053981106,-31.1278077180284,66.54734274812164,46.150331277130455,45.321100917431195,2.9600862998921253,-93.46863549214086
пгт Деденево рп,46608154,6499,2964,2759,205,25421,26052,16917,21342,686,581,105,17508,19212,8080,6.916329284750337,15.306122448979592,-48.78048780487805,121.30413140866101,228.38898292044928,-76.85560053981106,-31.1278077180284,66.54734274812164,46.150331277130455,45.60701646407139,3.2143191828319746,-92.95213887677969
Городское поселение Икша,46608157,6337,3709,3471,238,30562,30917,25699,129670,2143,2003,140,21778,22387,12990,6.416823941763279,6.532897806812879,-41.17647058823529,1.8088990145754824,1946.2363894587345,-42.22162307899704,-28.741574504286373,84.08808324062561,59.64735053723942,58.52927252643207,1.6526567440425697,-97.17635864464876
пгт Икша рп,46608157,4067,3709,3471,238,30562,30917,25699,71301,2143,2003,140,21778,22387,12990,6.416823941763279,6.532897806812879,-41.17647058823529,1.8088990145754824,1653.1595770838458,-42.22162307899704,-28.741574504286373,84.08808324062561,59.64735053723942,91.19744283255471,3.0055679443486065,-96.70432870594074
